"Freq [GHz]","mag(S(RX_ant1_1,TX_antenna)) []"
4,0.00795525793236149
4.0075,0.00797722558783527
4.015,0.00800055559138146
4.0225,0.00791949218814157
4.03,0.00742126200338672
4.0375,0.00727000372414069
4.045,0.00697708846718998
4.0525,0.00601312157981407
4.06,0.00576530804192783
4.0675,0.00586091614300946
4.075,0.00589927012542819
4.0825,0.00655768391980194
4.09,0.00613588231581485
4.0975,0.00575755401539855
4.105,0.00599914358792648
4.1125,0.00524880710937837
4.12,0.00497185740455704
4.1275,0.00459488552632969
4.135,0.00358529562707304
4.1425,0.0032529019597687
4.15,0.00306353001270372
4.1575,0.00275460317636643
4.165,0.00247844292046873
4.1725,0.00202489299178405
4.18,0.0020383301471986
4.1875,0.00242884266158082
4.195,0.00231265717513721
4.2025,0.00253229727864758
4.21,0.00178760207202159
4.2175,0.00103694619330258
4.225,0.00176830781412995
4.2325,0.00168587343744966
4.24,0.00262871028067611
4.2475,0.00268143451677866
4.255,0.00294656126338368
4.2625,0.00362269545722171
4.27,0.00384299747223413
4.2775,0.00421049062537268
4.285,0.00406637358375551
4.2925,0.00399172257503942
4.3,0.0043195108346291
4.3075,0.00482046378672367
4.315,0.00521380567044797
4.3225,0.00554648338843748
4.33,0.00593123013917668
4.3375,0.00619114757746089
4.345,0.00651258016193333
4.3525,0.00641603893939284
4.36,0.00618315158760136
4.3675,0.00582271311690132
4.375,0.0050939912176819
4.3825,0.00457463297236293
4.39,0.00388986660048457
4.3975,0.00352802669071184
4.405,0.00335092733647893
4.4125,0.00263487212107995
4.42,0.00206500851194954
4.4275,0.00154498698526777
4.435,0.0011637162403049
4.4425,0.000914196241809388
4.45,0.000544666821762001
4.4575,0.000272981491131568
4.465,0.000765979982995056
4.4725,0.00103346787621692
4.48,0.00141270330839464
4.4875,0.0018698861983327
4.495,0.00227186941887237
4.5025,0.00291068129885958
4.51,0.00311209645026588
4.5175,0.00328435782640263
4.525,0.00345215095683625
4.5325,0.00323555972215421
4.54,0.00335223891028018
4.5475,0.00356096815874735
4.555,0.00346051281402455
4.5625,0.00380388653302815
4.57,0.00416798992327428
4.5775,0.00420052189072706
4.585,0.00424247550653387
4.5925,0.00430948526672346
4.6,0.00400768143371407
4.6075,0.00372153532874635
4.615,0.0033124415111994
4.6225,0.00263433504691848
4.63,0.00237404550925105
4.6375,0.00187155243373096
4.645,0.00132590502028975
4.6525,0.000784138533758885
4.66,0.000335926383404989
4.6675,0.000800268748510066
4.675,0.000761592115392552
4.6825,0.000916072412882605
4.69,0.000860355657419988
4.6975,0.000688471135515775
4.705,0.00100594716978906
4.7125,0.00105265738797947
4.72,0.00135020448671337
4.7275,0.00179920374011023
4.735,0.00168864580797345
4.7425,0.00205858887823647
4.75,0.00234791288485017
4.7575,0.00241697228679444
4.765,0.00267500488230969
4.7725,0.00262353493832345
4.78,0.00266435051965381
4.7875,0.00290100811933242
4.795,0.00314406811194684
4.8025,0.0033395686136385
4.81,0.0034043286316361
4.8175,0.00350892398807626
4.825,0.00367761340887866
4.8325,0.00390856022262195
4.84,0.00395149636761895
4.8475,0.0039113303205908
4.855,0.003654219673635
4.8625,0.00308348080990535
4.87,0.00286376885381723
4.8775,0.0025684538391136
4.885,0.00225463963873738
4.8925,0.00212537335799758
4.9,0.00157763394177765
